EXPOCODE 316N138_9  WHP-ID P16A/P17A  DATES 100692-112592              20020417WHPOSIOSA                *
  STNNBR  CASTNO  BTLNBR  REVPRS  REVTMP  SALNTY  NITRAT  NITRIT  SILCAT  PHSPHT  DELC14  C14ERR   QUALT1
			    DBAR  ITS-90  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG  /MILLE  /MILLE        *                     
                 *******                 ******* ******* ******* ******* ******* *******                *
      87       4      46  2323.5  2.2700 34.6550   -9.00   -9.00   98.30   -9.00  -999.0    -9.0  2255259
      87       4      87  2324.0  2.2700 34.6540   -9.00   -9.00   98.30   -9.00  -181.5     4.0  2255252
      87       4      47  2501.0  2.1800 34.6770   -9.00   -9.00   99.00   -9.00  -999.0    -9.0  2255259
      87       4      89  2501.5  2.1800 34.6760   -9.00   -9.00   99.00   -9.00  -178.1     4.0  2255252
      87       4      48  2679.7  2.1200 34.7030   -9.00   -9.00   93.70   -9.00  -999.0    -9.0  2255259
      87       4      90  2680.2  2.1200 34.7030   -9.00   -9.00   93.70   -9.00  -167.3     4.0  2255252
      87       4      49  2860.0  1.9900 34.7120   -9.00   -9.00   99.20   -9.00  -999.0    -9.0  2255259
      87       4      93  2860.5  1.9900 34.7120   -9.00   -9.00   99.20   -9.00  -165.6     4.0  2255252
      87       1      41  3053.8  1.9000 34.7260   -9.00   -9.00   97.20   -9.00  -999.0    -9.0  2255259
      87       1      81  3054.3  1.9000 34.7260   -9.00   -9.00   97.20   -9.00  -170.5     4.0  2255252
      87       1      42  3284.1  1.6700 34.7240   -9.00   -9.00  103.20   -9.00  -999.0    -9.0  2255259
      87       1      82  3284.6  1.6700 34.7260   -9.00   -9.00  103.40   -9.00  -168.3     4.0  2255252
      87       1      43  3513.5  1.5000 34.7200   -9.00   -9.00  109.80   -9.00  -999.0    -9.0  2255259
      87       1      83  3514.0  1.5000 34.7200   -9.00   -9.00  109.80   -9.00  -176.2     4.0  2255252
      87       1      44  3742.1  1.4000 34.7180   -9.00   -9.00  113.10   -9.00  -999.0    -9.0  2255259
      87       1      84  3742.6  1.4000 34.7180   -9.00   -9.00  112.90   -9.00  -176.5     4.0  2255252
      87       1      45  3972.0  1.3000 34.7160   -9.00   -9.00  115.00   -9.00  -999.0    -9.0  2255259
      87       1      85  3972.5  1.3000 34.7160   -9.00   -9.00  115.80   -9.00  -168.6     4.0  2255252
      87       1      46  4202.2  1.2900 34.7150   -9.00   -9.00  116.90   -9.00  -999.0    -9.0  2255259
      87       1      87  4202.7  1.2900 34.7150   -9.00   -9.00  116.90   -9.00  -167.3     4.0  2255253
      87       1      47  4432.5  1.2900 34.7140   -9.00   -9.00  117.10   -9.00  -999.0    -9.0  2255259
      87       1      89  4433.0  1.2900 34.7150   -9.00   -9.00  117.80   -9.00  -171.9     4.0  2255252
      87       1      48  4663.1  1.3000 34.7140   -9.00   -9.00  118.00   -9.00  -999.0    -9.0  2255259
      87       1      90  4663.6  1.3000 34.7140   -9.00   -9.00  118.20   -9.00  -176.1     4.0  2255252
