EXPOCODE 320620140320 WHP-ID P16S CRUISE DATES 20140326 TO 20140504 20160323SIOCCHCBG                                                                                                                                                        *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12     SF6     DOC  TRITUM  HELIUM  DELHE3  DELC14  DELC13  TCARBN  ALKALI  PH_TOT  PH_TMP                QUALT1
                                    DBAR  ITS-90  PSS-78 UMOL/KG  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG FMOL/KG UMOL/KG      TU NMOL/KG  PERCNT  /MILLE  /MILLE UMOL/KG UMOL/KG           DEG C                     *
                         *******                 ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******                             *
       3       1      28      28   114.5 -1.3036 34.3052   277.0 34.3068   275.5   72.52   30.11    0.14    2.14   3.882   2.085  1.7800   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2222.9  2319.7  7.6670   20.00 222222222222199999222
       3       1      27      27   138.6 -0.9625 34.3589   259.4 34.3627   262.2   75.05   30.67    0.05    2.17  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2228.8  2322.1  7.6598   20.00 222222222999199999222
       3       1      25      25   162.6 -0.3870 34.4347    -9.0 -9.0000    -9.0   -9.00   -9.00   -9.00   -9.00  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 229999999999999999999
       3       1      26      26   163.8 -0.3872 34.4348   243.2 34.4359   243.6   79.44   31.25    0.02    2.21  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2237.0  2326.7  7.6511   20.00 222222222999199999226
       3       1      24      24   189.3  0.4190 34.5483   218.3 34.5458   214.6   85.88   31.95    0.01    2.24   1.769   0.953  1.0700   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2247.9  2335.7  7.6380   20.00 222222222222199999222
       3       1      23      23   212.8  0.7830 34.6042   202.8 34.6094   201.5   90.07   32.22    0.01    2.26  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2252.8  2339.9  7.6329   20.00 222222222999199999222
       3       1      22      22   237.0  0.9864 34.6363   194.5 34.6446   194.8   92.21   32.36    0.01    2.28  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2256.8  2342.3  7.6308   20.00 222222222999199999222
       3       1      21      21   266.6  1.1850 34.6682   188.9 34.6666   188.8   94.26   32.47    0.01    2.27  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2259.0  2343.4  7.6305   20.00 222222222999199999222
       3       1      20      20   319.3  1.4007 34.7140   181.0 34.7149   181.6   99.23   32.55   -9.00    2.27   0.329   0.168  0.1200   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2264.0  2348.5  7.6311   20.00 222222222222199999222
       3       1      19      19   367.7  1.4064 34.7260   181.2 34.7266   181.4  101.96   32.43   -9.00    2.28  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2263.8  2351.8  7.6350   20.00 222222222999199999222
       3       1      18      18   420.6  1.3670 34.7271   182.2 34.7268   182.8  103.82   32.43   -9.00    2.27  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2263.6  2353.1  7.6350   20.00 222222222999199999222
       3       1      17      17   467.9  1.3225 34.7282   183.3 34.7339   183.2  105.57   32.41   -9.00    2.27   0.161   0.077  0.0200   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2263.7  2353.4  7.6367   20.00 222322222222199999222
       3       1      16      16   538.0  1.2728 34.7279   184.8 34.7364   184.7  107.62   32.38   -9.00    2.27  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2263.5  2354.4  7.6478   20.00 222322222999199999222
       3       1      15      15   638.1  1.2063 34.7262   186.9 34.7372   187.0  109.58   32.36   -9.00    2.27   0.123   0.054  0.0400   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2264.0  2355.9  7.6452   20.00 222322222222199999226
       3       1      14      14   739.6  1.1357 34.7237   189.5 34.7263   189.7  111.53   32.24   -9.00    2.26  -9.000  -9.000 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0    -9.0    -9.0 -9.0000   -9.00 222222222999199999999
       3       1      13      13   841.9  1.0653 34.7212   192.0 34.7213   192.0  113.58   32.22   -9.00    2.25   0.096   0.045 -9.0000   -9.00  -9.000 -9.0000   -9.00    -9.0    -9.0  2263.4  2358.9  7.6519   20.00 222222222222199999222
