EXPOCODE 31WTTUNES_2 WHP-ID P16S/P17S DATES 083191 TO 100191                20020416WHPOSIOSA
  STNNBR  CASTNO  BTLNBR  REVPRS  REVTMP  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSHHT  DELC14  C14ERR  DELC13    QUALT1
                            DBAR  ITS-90  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG    0/00    0/00    0/00         * 
                 *******                 ******* ******* ******* ******* ******* ******* *******         *******         *
     187       3      81  1590.5  -9.000  34.545    -9.0    -9.0    -9.0    -9.0   -9.00  -166.9     3.      0.1 229599922
     187       3      47  1785.3   2.44   34.601    -9.0   101.3    35.      0.     2.45  -999.0    -9.0    -9.0 229222299
     187       3      83  1785.8   2.44   34.601    -9.0   101.5    35.      0.     2.44  -189.5     3.     -0.1 229222222
     187       3      49  1981.1   2.24   34.626    -9.0   111.8    35.3     0.     2.46  -999.0    -9.0    -9.0 229222299
     187       3      84  1981.6   2.24   34.627    -9.0   111.4    35.3     0.     2.46  -202.4     3.2    -0.2 229222222
     187       3      45  2226.3   2.06   34.645    -9.0   120.3    35.4     0.     2.49  -999.0    -9.0    -9.0 229222299
     187       3      87  2226.8   2.06   34.643    -9.0   120.3    35.5     0.     2.47  -213.6     3.     -0.3 229222222
     187       3      89  2474.3   1.94   34.655    -9.0   125.9    35.6     0.     2.48  -219.      2.6    -0.4 229222222
     187       3      41  2727.5   1.84   34.663    -9.0   128.4    35.4     0.     2.48  -999.0    -9.0    -9.0 229222299
     187       3      93  2728.    1.84   34.663    -9.0   130.3    35.6     0.     2.46  -213.7     2.3    -0.5 229222222
     187       3      43  2982.2   1.75   34.669    -9.0   131.9    35.4     0.     2.49  -999.0    -9.0    -9.0 229222299
     187       3      94  2982.7   1.75   34.671    -9.0   131.9    35.4     0.     2.46  -216.7     2.5    -0.2 229222222
